type,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,SoH_Percentage,driving_style
0,24,47,57,58,00058.csv,0.8249291760871977,0.0634014315794938,0.2000415434934816,63.84778945294478,Smooth
1,4,47,58,59,00059.csv,0.8249291760871977,0.0634014315794938,0.2000415434934816,63.84778945294478,Smooth
0,24,47,59,60,00060.csv,0.8249291760871977,0.0572245527248006,0.1846842786274271,63.84778945294478,Smooth
-1,4,47,60,61,00061.csv,0.8153670983675496,0.0572245527248006,0.1846842786274271,63.107704676367234,Smooth
1,4,47,61,62,00062.csv,0.8153670983675496,0.0572245527248006,0.1846842786274271,63.107704676367234,Smooth
-1,4,47,62,63,00063.csv,0.8180472239032512,0.0572245527248006,0.1846842786274271,63.31514077618201,Smooth
1,4,47,63,64,00064.csv,0.8180472239032512,0.0572245527248006,0.1846842786274271,63.31514077618201,Smooth
-1,4,47,64,65,00065.csv,0.8070823914592157,0.0572245527248006,0.1846842786274271,62.46648572364256,Smooth
1,4,47,65,66,00066.csv,0.8070823914592157,0.0572245527248006,0.1846842786274271,62.46648572364256,Smooth
-1,4,47,66,67,00067.csv,0.8019510776263622,0.0572245527248006,0.1846842786274271,62.069332786500745,Smooth
1,4,47,67,68,00068.csv,0.8019510776263622,0.0572245527248006,0.1846842786274271,62.069332786500745,Smooth
-1,4,47,68,69,00069.csv,0.8011440943920147,0.0572245527248006,0.1846842786274271,62.00687397532975,Smooth
0,24,47,69,70,00070.csv,0.8011440943920147,0.0652604465377714,0.2084939379852615,62.00687397532975,Smooth
1,4,47,70,71,00071.csv,0.8011440943920147,0.0652604465377714,0.2084939379852615,62.00687397532975,Smooth
0,24,47,71,72,00072.csv,0.8011440943920147,0.0588889709566058,0.1939180417152267,62.00687397532975,Smooth
-1,4,47,72,73,00073.csv,0.7947943839074681,0.0588889709566058,0.1939180417152267,61.51541969069959,Smooth
1,4,47,73,74,00074.csv,0.7947943839074681,0.0588889709566058,0.1939180417152267,61.51541969069959,Smooth
-1,4,47,74,75,00075.csv,0.7963098606510329,0.0588889709566058,0.1939180417152267,61.632714414718095,Smooth
1,4,47,75,76,00076.csv,0.7963098606510329,0.0588889709566058,0.1939180417152267,61.632714414718095,Smooth
-1,4,47,76,77,00077.csv,0.7917902521284337,0.0588889709566058,0.1939180417152267,61.282906186659794,Smooth
1,4,47,77,78,00078.csv,0.7917902521284337,0.0588889709566058,0.1939180417152267,61.282906186659794,Smooth
-1,4,47,78,79,00079.csv,0.7830063909106346,0.0588889709566058,0.1939180417152267,60.60305373644334,Smooth
1,4,47,79,80,00080.csv,0.7830063909106346,0.0588889709566058,0.1939180417152267,60.60305373644334,Smooth
-1,4,47,80,81,00081.csv,0.7822127898668588,0.0588889709566058,0.1939180417152267,60.54163067877799,Smooth
0,24,47,81,82,00082.csv,0.7822127898668588,0.0677522456729848,0.2069149531416078,60.54163067877799,Smooth
1,4,47,82,83,00083.csv,0.7822127898668588,0.0677522456729848,0.2069149531416078,60.54163067877799,Smooth
0,24,47,83,84,00084.csv,0.7822127898668588,0.0634509134227306,0.1852768590140887,60.54163067877799,Smooth
-1,4,47,84,85,00085.csv,0.8159812370183638,0.0634509134227306,0.1852768590140887,63.15523772091064,Smooth
0,24,47,85,86,00086.csv,0.8159812370183638,0.0634207519010663,0.2126316583494981,63.15523772091064,Smooth
1,4,47,86,87,00087.csv,0.8159812370183638,0.0634207519010663,0.2126316583494981,63.15523772091064,Smooth
0,24,47,87,88,00088.csv,0.8159812370183638,0.0620825541386092,0.1848963380851136,63.15523772091064,Smooth
-1,4,47,88,89,00089.csv,0.8174973236566391,0.0620825541386092,0.1848963380851136,63.272579649501594,Smooth
1,4,47,89,90,00090.csv,0.8174973236566391,0.0620825541386092,0.1848963380851136,63.272579649501594,Smooth
-1,4,47,90,91,00091.csv,0.809439975202229,0.0620825541386092,0.1848963380851136,62.6489577646432,Smooth
1,4,47,91,92,00092.csv,0.809439975202229,0.0620825541386092,0.1848963380851136,62.6489577646432,Smooth
-1,4,47,92,93,00093.csv,0.8035216919816587,0.0620825541386092,0.1848963380851136,62.190895046117255,Smooth
1,4,47,93,94,00094.csv,0.8035216919816587,0.0620825541386092,0.1848963380851136,62.190895046117255,Smooth
-1,4,47,94,95,00095.csv,0.7943151731037456,0.0620825541386092,0.1848963380851136,61.47832977875735,Smooth
1,4,47,95,96,00096.csv,0.7943151731037456,0.0620825541386092,0.1848963380851136,61.47832977875735,Smooth
-1,4,47,96,97,00097.csv,0.7884167503553152,0.0620825541386092,0.1848963380851136,61.02180421915412,Smooth
0,24,47,97,98,00098.csv,0.7884167503553152,0.0649430437513639,0.2073359198485049,61.02180421915412,Smooth
1,4,47,98,99,00099.csv,0.7884167503553152,0.0649430437513639,0.2073359198485049,61.02180421915412,Smooth
0,24,47,99,100,00100.csv,0.7884167503553152,0.0637569819150228,0.1992127203718958,61.02180421915412,Smooth
-1,4,47,100,101,00101.csv,0.7840183880700462,0.0637569819150228,0.1992127203718958,60.681380195773535,Smooth
1,4,47,101,102,00102.csv,0.7840183880700462,0.0637569819150228,0.1992127203718958,60.681380195773535,Smooth
-1,4,47,102,103,00103.csv,0.7835619334484212,0.0637569819150228,0.1992127203718958,60.646051564636295,Smooth
1,4,47,103,104,00104.csv,0.7835619334484212,0.0637569819150228,0.1992127203718958,60.646051564636295,Smooth
-1,4,47,104,105,00105.csv,0.7733758794557062,0.0637569819150228,0.1992127203718958,59.85767233216938,Smooth
1,4,47,105,106,00106.csv,0.7733758794557062,0.0637569819150228,0.1992127203718958,59.85767233216938,Smooth
-1,4,47,106,107,00107.csv,0.7708185435748909,0.0637569819150228,0.1992127203718958,59.65973989431668,Smooth
1,4,47,107,108,00108.csv,0.7708185435748909,0.0637569819150228,0.1992127203718958,59.65973989431668,Smooth
-1,4,47,108,109,00109.csv,0.7680488732646895,0.0637569819150228,0.1992127203718958,59.445373216611586,Smooth
0,24,47,109,110,00110.csv,0.7680488732646895,0.0674913792867731,0.2214395123237891,59.445373216611586,Smooth
1,4,47,110,111,00111.csv,0.7680488732646895,0.0674913792867731,0.2214395123237891,59.445373216611586,Smooth
0,24,47,111,112,00112.csv,0.7680488732646895,0.0665251175705064,0.1935939227812356,59.445373216611586,Smooth
-1,4,47,112,113,00113.csv,0.7649339631909923,0.0665251175705064,0.1935939227812356,59.204285704719226,Smooth
1,4,47,113,114,00114.csv,0.7649339631909923,0.0665251175705064,0.1935939227812356,59.204285704719226,Smooth
-1,4,47,114,115,00115.csv,0.7624740567625412,0.0665251175705064,0.1935939227812356,59.0138941022999,Smooth
1,4,47,115,116,00116.csv,0.7624740567625412,0.0665251175705064,0.1935939227812356,59.0138941022999,Smooth
-1,4,47,116,117,00117.csv,0.7616473150452883,0.0665251175705064,0.1935939227812356,58.94990602595921,Smooth
1,4,47,117,118,00118.csv,0.7616473150452883,0.0665251175705064,0.1935939227812356,58.94990602595921,Smooth
-1,4,47,118,119,00119.csv,0.7589623774168325,0.0665251175705064,0.1935939227812356,58.74209748024981,Smooth
1,4,47,119,120,00120.csv,0.7589623774168325,0.0665251175705064,0.1935939227812356,58.74209748024981,Smooth
-1,4,47,120,121,00121.csv,0.753129934351133,0.0665251175705064,0.1935939227812356,58.290678609818556,Smooth
0,24,47,121,122,00122.csv,0.753129934351133,0.0687548513271192,0.2125757722504071,58.290678609818556,Smooth
1,4,47,122,123,00123.csv,0.753129934351133,0.0687548513271192,0.2125757722504071,58.290678609818556,Smooth
0,24,47,123,124,00124.csv,0.753129934351133,0.0648907629265013,0.202080225444284,58.290678609818556,Smooth
-1,4,47,124,125,00125.csv,0.7570839066080894,0.0648907629265013,0.202080225444284,58.59670777630092,Smooth
1,4,47,125,126,00126.csv,0.7570839066080894,0.0648907629265013,0.202080225444284,58.59670777630092,Smooth
-1,4,47,126,127,00127.csv,0.7500047990451972,0.0648907629265013,0.202080225444284,58.04879968637962,Smooth
1,4,47,127,128,00128.csv,0.7500047990451972,0.0648907629265013,0.202080225444284,58.04879968637962,Smooth
-1,4,47,128,129,00129.csv,0.7514363902334951,0.0648907629265013,0.202080225444284,58.15960184421658,Smooth
1,4,47,129,130,00130.csv,0.7514363902334951,0.0648907629265013,0.202080225444284,58.15960184421658,Smooth
-1,4,47,130,131,00131.csv,0.7447796561001252,0.0648907629265013,0.202080225444284,57.644384572586574,Smooth
1,4,47,131,132,00132.csv,0.7447796561001252,0.0648907629265013,0.202080225444284,57.644384572586574,Smooth
-1,4,47,132,133,00133.csv,0.0,0.0648907629265013,0.202080225444284,0.0,Smooth
0,24,47,133,134,00134.csv,0.0,0.0678760170355186,0.2177147883850743,0.0,Smooth
1,4,47,134,135,00135.csv,0.0,0.0678760170355186,0.2177147883850743,0.0,Smooth
0,24,47,135,136,00136.csv,0.0,0.0654946296661155,0.2007265639137866,0.0,Smooth
-1,4,47,136,137,00137.csv,0.7842623177718924,0.0654946296661155,0.2007265639137866,60.7002598435012,Smooth
0,24,47,137,138,00138.csv,0.7842623177718924,0.0691713168866928,0.2102911066427698,60.7002598435012,Smooth
1,4,47,138,139,00139.csv,0.7842623177718924,0.0691713168866928,0.2102911066427698,60.7002598435012,Smooth
0,24,47,139,140,00140.csv,0.7842623177718924,0.0682949743432065,0.1783848315724727,60.7002598435012,Smooth
-1,4,47,140,141,00141.csv,0.7890202513865723,0.0682949743432065,0.1783848315724727,61.06851393423669,Smooth
1,4,47,141,142,00142.csv,0.7890202513865723,0.0682949743432065,0.1783848315724727,61.06851393423669,Smooth
-1,4,47,142,143,00143.csv,0.7842169985890046,0.0682949743432065,0.1783848315724727,60.696752233719565,Smooth
1,4,47,143,144,00144.csv,0.7842169985890046,0.0682949743432065,0.1783848315724727,60.696752233719565,Smooth
-1,4,47,144,145,00145.csv,0.7776893993249606,0.0682949743432065,0.1783848315724727,60.19152973035181,Smooth
1,4,47,145,146,00146.csv,0.7776893993249606,0.0682949743432065,0.1783848315724727,60.19152973035181,Smooth
-1,4,47,146,147,00147.csv,0.7714087817488829,0.0682949743432065,0.1783848315724727,59.70542309204146,Smooth
1,4,47,147,148,00148.csv,0.7714087817488829,0.0682949743432065,0.1783848315724727,59.70542309204146,Smooth
-1,4,47,148,149,00149.csv,0.7662188549696427,0.0682949743432065,0.1783848315724727,59.30373363568248,Smooth
0,24,47,149,150,00150.csv,0.7662188549696427,0.0724095972030899,0.2139656113488228,59.30373363568248,Smooth
1,4,47,150,151,00151.csv,0.7662188549696427,0.0724095972030899,0.2139656113488228,59.30373363568248,Smooth
0,24,47,151,152,00152.csv,0.7662188549696427,0.0696768385660196,0.193482418552622,59.30373363568248,Smooth
-1,4,47,152,153,00153.csv,0.7693520793345446,0.0696768385660196,0.193482418552622,59.54623863533344,Smooth
0,24,47,153,154,00154.csv,0.7693520793345446,0.0718274459672283,0.2060492409139995,59.54623863533344,Smooth
1,4,47,154,155,00155.csv,0.7693520793345446,0.0718274459672283,0.2060492409139995,59.54623863533344,Smooth
0,24,47,155,156,00156.csv,0.7693520793345446,0.0695874261558705,0.1963859977308065,59.54623863533344,Smooth
-1,4,47,156,157,00157.csv,0.7743715876771066,0.0695874261558705,0.1963859977308065,59.934738061833684,Smooth
1,4,47,157,158,00158.csv,0.7743715876771066,0.0695874261558705,0.1963859977308065,59.934738061833684,Smooth
-1,4,47,158,159,00159.csv,0.7695593894586578,0.0695874261558705,0.1963859977308065,59.562284004486976,Smooth
1,4,47,159,160,00160.csv,0.7695593894586578,0.0695874261558705,0.1963859977308065,59.562284004486976,Smooth
-1,4,47,160,161,00161.csv,0.7626540334953867,0.0695874261558705,0.1963859977308065,59.02782392425099,Smooth
1,4,47,161,162,00162.csv,0.7626540334953867,0.0695874261558705,0.1963859977308065,59.02782392425099,Smooth
-1,4,47,162,163,00163.csv,0.7600551299539728,0.0695874261558705,0.1963859977308065,58.826674236579905,Smooth
1,4,47,163,164,00164.csv,0.7600551299539728,0.0695874261558705,0.1963859977308065,58.826674236579905,Smooth
-1,4,47,164,165,00165.csv,0.0,0.0695874261558705,0.1963859977308065,0.0,Smooth
0,24,47,165,166,00166.csv,0.0,0.0731403774262903,0.1965282732975364,0.0,Smooth
1,4,47,166,167,00167.csv,0.0,0.0731403774262903,0.1965282732975364,0.0,Smooth
0,24,47,167,168,00168.csv,0.0,0.0702725444758336,0.1961759742128024,0.0,Smooth
-1,4,47,168,169,00169.csv,0.798097240260054,0.0702725444758336,0.1961759742128024,61.77105385070526,Smooth
0,24,47,169,170,00170.csv,0.798097240260054,0.0697847765156776,0.2127495832130119,61.77105385070526,Smooth
1,4,47,170,171,00171.csv,0.798097240260054,0.0697847765156776,0.2127495832130119,61.77105385070526,Smooth
0,24,47,171,172,00172.csv,0.798097240260054,0.0702564710013501,0.1949135987748632,61.77105385070526,Smooth
-1,4,47,172,173,00173.csv,0.7898683180809761,0.0702564710013501,0.1949135987748632,61.134152519118835,Smooth
1,4,47,173,174,00174.csv,0.7898683180809761,0.0702564710013501,0.1949135987748632,61.134152519118835,Smooth
-1,4,47,174,175,00175.csv,0.783771266493265,0.0702564710013501,0.1949135987748632,60.66225350361501,Smooth
1,4,47,175,176,00176.csv,0.783771266493265,0.0702564710013501,0.1949135987748632,60.66225350361501,Smooth
-1,4,47,176,177,00177.csv,0.7781418694530252,0.0702564710013501,0.1949135987748632,60.226549970037645,Smooth
1,4,47,177,178,00178.csv,0.7781418694530252,0.0702564710013501,0.1949135987748632,60.226549970037645,Smooth
-1,4,47,178,179,00179.csv,0.7693871410826189,0.0702564710013501,0.1949135987748632,59.54895234115666,Smooth
1,4,47,179,180,00180.csv,0.7693871410826189,0.0702564710013501,0.1949135987748632,59.54895234115666,Smooth
-1,4,47,180,181,00181.csv,0.7685833335727813,0.0702564710013501,0.1949135987748632,59.48673932440748,Smooth
0,24,47,181,182,00182.csv,0.7685833335727813,0.071728488505491,0.210330873154063,59.48673932440748,Smooth
1,4,47,182,183,00183.csv,0.7685833335727813,0.071728488505491,0.210330873154063,59.48673932440748,Smooth
0,24,47,183,184,00184.csv,0.7685833335727813,0.0704628436211972,0.2002545177064046,59.48673932440748,Smooth
-1,4,45,0,185,00185.csv,0.7333190700851505,0.0704628436211972,0.2002545177064046,56.75735923259045,Smooth
0,24,45,1,186,00186.csv,0.7333190700851505,0.0701120205232898,0.2196597941031741,56.75735923259045,Smooth
1,4,45,2,187,00187.csv,0.7333190700851505,0.0701120205232898,0.2196597941031741,56.75735923259045,Smooth
0,24,45,3,188,00188.csv,0.7333190700851505,0.0630562208870624,0.194258643814068,56.75735923259045,Smooth
-1,4,45,4,189,00189.csv,0.656458509549758,0.0630562208870624,0.194258643814068,50.80851292123108,Smooth
1,4,45,5,190,00190.csv,0.656458509549758,0.0630562208870624,0.194258643814068,50.80851292123108,Smooth
-1,4,45,6,191,00191.csv,0.6340305256583261,0.0630562208870624,0.194258643814068,49.07263396960236,Smooth
1,4,45,7,192,00192.csv,0.6340305256583261,0.0630562208870624,0.194258643814068,49.07263396960236,Smooth
-1,4,45,8,193,00193.csv,0.6195550360853864,0.0630562208870624,0.194258643814068,47.95226141245128,Smooth
1,4,45,9,194,00194.csv,0.6195550360853864,0.0630562208870624,0.194258643814068,47.95226141245128,Smooth
-1,4,45,10,195,00195.csv,0.6102737149646669,0.0630562208870624,0.194258643814068,47.23390660825869,Smooth
1,4,45,11,196,00196.csv,0.6102737149646669,0.0630562208870624,0.194258643814068,47.23390660825869,Smooth
-1,4,45,12,197,00197.csv,0.6013318435316988,0.0630562208870624,0.194258643814068,46.541824498524825,Smooth
0,24,45,13,198,00198.csv,0.6013318435316988,0.0691228104997669,0.2063424777105461,46.541824498524825,Smooth
1,4,45,14,199,00199.csv,0.6013318435316988,0.0691228104997669,0.2063424777105461,46.541824498524825,Smooth
0,24,45,15,200,00200.csv,0.6013318435316988,0.0629443962240823,0.1917538079199251,46.541824498524825,Smooth
-1,4,45,16,201,00201.csv,0.584222566531583,0.0629443962240823,0.1917538079199251,45.21760231404964,Smooth
0,24,45,17,202,00202.csv,0.584222566531583,0.0684611778620791,0.2032410662483989,45.21760231404964,Smooth
1,4,45,18,203,00203.csv,0.584222566531583,0.0684611778620791,0.2032410662483989,45.21760231404964,Smooth
0,24,45,19,204,00204.csv,0.584222566531583,0.0637580928562059,0.2027938839725922,45.21760231404964,Smooth
-1,4,45,20,205,00205.csv,0.5979391803288663,0.0637580928562059,0.2027938839725922,46.279239476515244,Smooth
1,4,45,21,206,00206.csv,0.5979391803288663,0.0637580928562059,0.2027938839725922,46.279239476515244,Smooth
-1,4,45,22,207,00207.csv,0.5865439083560764,0.0637580928562059,0.2027938839725922,45.397269306507795,Smooth
1,4,45,23,208,00208.csv,0.5865439083560764,0.0637580928562059,0.2027938839725922,45.397269306507795,Smooth
-1,4,45,24,209,00209.csv,0.5874409057916394,0.0637580928562059,0.2027938839725922,45.46669502821315,Smooth
1,4,45,25,210,00210.csv,0.5874409057916394,0.0637580928562059,0.2027938839725922,45.46669502821315,Smooth
-1,4,45,26,211,00211.csv,0.5756638935098345,0.0637580928562059,0.2027938839725922,44.5551789582882,Smooth
1,4,45,27,212,00212.csv,0.5756638935098345,0.0637580928562059,0.2027938839725922,44.5551789582882,Smooth
-1,4,45,28,213,00213.csv,0.5768233552453143,0.0637580928562059,0.2027938839725922,44.64491886676955,Smooth
0,24,45,29,214,00214.csv,0.5768233552453143,0.0701938588894106,0.2129229584838556,44.64491886676955,Smooth
1,4,45,30,215,00215.csv,0.5768233552453143,0.0701938588894106,0.2129229584838556,44.64491886676955,Smooth
0,24,45,31,216,00216.csv,0.5768233552453143,0.0642233560415149,0.2043181994713555,44.64491886676955,Smooth
-1,4,45,32,217,00217.csv,0.5717170285700137,0.0642233560415149,0.2043181994713555,44.249699883257584,Smooth
0,24,45,33,218,00218.csv,0.5717170285700137,0.0711980941684863,0.2102836573899077,44.249699883257584,Smooth
1,4,45,34,219,00219.csv,0.5717170285700137,0.0711980941684863,0.2102836573899077,44.249699883257584,Smooth
0,24,45,35,220,00220.csv,0.5717170285700137,0.0641545387256951,0.1856815057346941,44.249699883257584,Smooth
-1,4,45,36,221,00221.csv,0.5851604510744506,0.0641545387256951,0.1856815057346941,45.29019261217464,Smooth
1,4,45,37,222,00222.csv,0.5851604510744506,0.0641545387256951,0.1856815057346941,45.29019261217464,Smooth
-1,4,45,38,223,00223.csv,0.5779679615866908,0.0641545387256951,0.1856815057346941,44.73350899887926,Smooth
1,4,45,39,224,00224.csv,0.5779679615866908,0.0641545387256951,0.1856815057346941,44.73350899887926,Smooth
-1,4,45,40,225,00225.csv,0.5681175449198749,0.0641545387256951,0.1856815057346941,43.97110739205312,Smooth
1,4,45,41,226,00226.csv,0.5681175449198749,0.0641545387256951,0.1856815057346941,43.97110739205312,Smooth
-1,4,45,42,227,00227.csv,0.562178183723727,0.0641545387256951,0.1856815057346941,43.511413282389874,Smooth
1,4,45,43,228,00228.csv,0.562178183723727,0.0641545387256951,0.1856815057346941,43.511413282389874,Smooth
-1,4,45,44,229,00229.csv,0.5598471313628566,0.0641545387256951,0.1856815057346941,43.33099471476618,Smooth
0,24,45,45,230,00230.csv,0.5598471313628566,0.07145596635321,0.2208403686498162,43.33099471476618,Smooth
1,4,45,46,231,00231.csv,0.5598471313628566,0.07145596635321,0.2208403686498162,43.33099471476618,Smooth
0,24,45,47,232,00232.csv,0.5598471313628566,0.0655782376912343,0.2032238474511976,43.33099471476618,Smooth
-1,4,45,48,233,00233.csv,0.55430215898756,0.0655782376912343,0.2032238474511976,42.901825473329495,Smooth
1,4,45,49,234,00234.csv,0.55430215898756,0.0655782376912343,0.2032238474511976,42.901825473329495,Smooth
-1,4,45,50,235,00235.csv,0.0,0.0655782376912343,0.2032238474511976,0.0,Smooth
1,4,45,51,236,00236.csv,0.0,0.0655782376912343,0.2032238474511976,0.0,Smooth
-1,4,45,52,237,00237.csv,0.5486140960090714,0.0655782376912343,0.2032238474511976,42.4615813190759,Smooth
1,4,45,53,238,00238.csv,0.5486140960090714,0.0655782376912343,0.2032238474511976,42.4615813190759,Smooth
-1,4,45,54,239,00239.csv,0.5473844810440527,0.0655782376912343,0.2032238474511976,42.36641169764599,Smooth
1,4,45,55,240,00240.csv,0.5473844810440527,0.0655782376912343,0.2032238474511976,42.36641169764599,Smooth
-1,4,45,56,241,00241.csv,0.5400556366439596,0.0655782376912343,0.2032238474511976,41.79917449989039,Smooth
0,24,45,57,242,00242.csv,0.5400556366439596,0.072819006717758,0.2045420311981158,41.79917449989039,Smooth
1,4,45,58,243,00243.csv,0.5400556366439596,0.072819006717758,0.2045420311981158,41.79917449989039,Smooth
0,24,45,59,244,00244.csv,0.5400556366439596,0.0674769811733498,0.2081450735447998,41.79917449989039,Smooth
-1,4,45,60,245,00245.csv,0.538199798824288,0.0674769811733498,0.2081450735447998,41.65553654186443,Smooth
1,4,45,61,246,00246.csv,0.538199798824288,0.0674769811733498,0.2081450735447998,41.65553654186443,Smooth
-1,4,45,62,247,00247.csv,0.5389460228461775,0.0674769811733498,0.2081450735447998,41.713292717322204,Smooth
1,4,45,63,248,00248.csv,0.5389460228461775,0.0674769811733498,0.2081450735447998,41.713292717322204,Smooth
-1,4,45,64,249,00249.csv,0.5417759323557422,0.0674769811733498,0.2081450735447998,41.93232178281676,Smooth
